model	source	exporter	decode	translation	lf_generation	lfc	runtime	rmc_verdict	final_status	failure_reason
AircraftDoor/AircraftDoor	lf-verifier-benchmarks:rebeca/AircraftDoor/AircraftDoor.rebeca	pass	pass	fail	fail	n/a	n/a	satisfied	fail	message server `KeepAlive`.`kick` takes no parameters, so the port that would carry it ha; value type unknown, so the port would carry no value
Alarm/Alarm	lf-verifier-benchmarks:rebeca/Alarm/Alarm.rebeca	pass	pass	pass	pass	pass	pass	satisfied	pass	
CheckpointBarrier2/CheckpointBarrier2	authored:CheckpointBarrier2/CheckpointBarrier2.rebeca	pass	pass	pass	pass	pass	pass	satisfied	pass	
Election/Election	lf-verifier-benchmarks:rebeca/Election/Election.rebeca	pass	pass	pass	pass	pass	pass	satisfied	pass	
Factorial/Factorial	lf-verifier-benchmarks:benchmarks/src/Factorial.lf	pass	pass	fail	fail	n/a	n/a	satisfied	fail	message server `KeepAlive`.`kick` takes no parameters, so the port that would carry it ha; value type unknown, so the port would carry no value
Fibonacci/Fibonacci	lf-verifier-benchmarks:benchmarks/src/Fibonacci.lf	pass	pass	pass	pass	pass	pass	satisfied	pass	
Minimal/Minimal	authored:Minimal/Minimal.rebeca	pass	pass	pass	pass	pass	fail	satisfied	fail	runtime wall-clock guard: zero-delay recurrence never advances logical time past the 5 msec budget
PingPong/PingPong	lf-verifier-benchmarks:rebeca/PingPong/PingPong.rebeca	pass	pass	pass	pass	pass	pass	satisfied	pass	
Pipe/Pipe	lf-verifier-benchmarks:benchmarks/src/Pipe.lf	pass	pass	pass	pass	pass	pass	satisfied	pass	
ProcessMsg/ProcessMsg	lf-verifier-benchmarks:benchmarks/src/ProcessMsg.lf	pass	pass	pass	pass	pass	pass	satisfied	pass	
Ring/Ring	lf-verifier-benchmarks:benchmarks/src/Ring.lf	pass	pass	pass	pass	pass	pass	satisfied	pass	
SafeSend/SafeSend	lf-verifier-benchmarks:benchmarks/src/SafeSend.lf	pass	pass	fail	fail	n/a	n/a	satisfied	fail	message server `Checker`.`errorIn` takes no parameters, so the port that would carry it h; value type unknown, so the port would carry no value
Subway/Subway	lf-verifier-benchmarks:benchmarks/src/Subway.lf	pass	pass	fail	fail	n/a	n/a	satisfied	fail	message server `Checker`.`doneIn` takes no parameters, so the port that would carry it ha; value type unknown, so the port would carry no value
Thermostat/Thermostat	lf-verifier-benchmarks:benchmarks/src/Thermostat.lf	pass	pass	pass	pass	pass	pass	satisfied	pass	
TrafficLight/TrafficLight	lf-verifier-benchmarks:benchmarks/src/TrafficLight.lf	pass	pass	fail	fail	n/a	n/a	satisfied	fail	message server `Checker`.`sigGIn` takes no parameters, so the port that would carry it ha; value type unknown, so the port would carry no value
TrainDoor/TrainDoor	lf-verifier-benchmarks:rebeca/TrainDoor/TrainDoor.rebeca	pass	pass	fail	fail	n/a	n/a	satisfied	fail	message server `Checker`.`trainEvt` takes no parameters, so the port that would carry it ; value type unknown, so the port would carry no value
TrainDoor2/TrainDoor2	lf-verifier-benchmarks:rebeca/TrainDoor2/TrainDoor2.rebeca	pass	pass	pass	pass	pass	pass	satisfied	pass	
TrainDoorFeedback/TrainDoorFeedback	lf-verifier-benchmarks:rebeca/TrainDoorFeedback/TrainDoorFeedback.rebeca	pass	pass	pass	pass	pass	pass	satisfied	pass	
UnsafeSend/UnsafeSend	lf-verifier-benchmarks:benchmarks/src/UnsafeSend.lf	pass	pass	fail	fail	n/a	n/a	satisfied	fail	message server `Checker`.`errorIn` takes no parameters, so the port that would carry it h; value type unknown, so the port would carry no value
WideBarrier24/WideBarrier24	authored:WideBarrier24/WideBarrier24.rebeca	pass	pass	pass	pass	pass	pass	satisfied	pass	
benchmarks/tcsma	rebeca-lang.org:benchmarks/tcsma.rebeca	pass	pass	fail	fail	n/a	n/a	queue overflow	fail	message server `User`.`sendData` takes no parameters, so the port that would carry it has; value type unknown, so the port would carry no value
